Attendance Date			01-Oct-2025,SNo,E. Code, InTime, OutTime,,Work Dur.,OT,Tot.  Dur.,Status,,Remarks
,53,MS4278,09:08:46,19:16:02,,9:00,1:08,10:08,Present ,,
,54,MS4390,11:26:24,19:12:47,,7:46,00:00,7:46,Present ,,
,55,MS4394,,,,00:00,00:00,00:00,Absent,,
,56,MS4410,11:01:20,19:11:13,,8:10,00:00,8:10,Present ,,
,57,MS4417,08:47:54,,,9:00,00:43,9:43,Present  (No OutPunch),,
,58,MS4456,10:34:45,19:11:03,,8:37,00:00,8:37,Present ,,
,59,MS4480,08:52:19,13:39:52,,4:47,00:00,4:47,Present ,,
,60,MS4531,11:15:00,,,7:15,00:00,7:15,Present  (No OutPunch),,
,61,MS4540,,,,00:00,00:00,00:00,Absent,,
,62,MS4548,11:41:45,,,6:49,00:00,6:49,Present  (No OutPunch),,
,63,MS4571,11:28:06,,,7:02,00:00,7:02,Present  (No OutPunch),,
,64,MS4614,08:53:06,13:39:43,,4:46,00:00,4:46,Present ,,
,65,MS4635,08:55:54,13:48:51,,4:53,00:00,4:53,Present ,,
,66,MS4647,09:11:54,19:10:38,,9:00,00:59,9:59,Present ,,
,67,MS4744,,,,00:00,00:00,00:00,Absent,,
,68,MS4760,,,,00:00,00:00,00:00,Absent,,
,69,MS4828,09:29:12,14:34:28,,5:05,00:00,5:05,Present ,,
,70,MS4835,,,,00:00,00:00,00:00,Absent,,
,71,MS4895,08:59:31,13:52:03,,4:53,00:00,4:53,Present ,,
,72,MS4954,09:03:08,14:37:13,,5:34,00:00,5:34,Present ,,
,73,MS4972,,,,00:00,00:00,00:00,Absent,,
,74,MS4988,08:53:26,,,9:00,00:37,9:37,Present  (No OutPunch),,
,75,MS4996,09:10:59,19:09:38,,9:00,00:59,9:59,Present ,,
,76,MS5012,09:01:29,19:19:00,,9:00,1:18,10:18,Present ,,
,77,MS5015,08:53:47,13:36:23,,4:43,00:00,4:43,Present ,,
,78,MS5054,08:55:15,14:13:49,,5:18,00:00,5:18,Present ,,
,79,MS5112,11:28:25,14:44:28,,3:16,00:00,3:16, ½Present ,,
,80,MS5122,09:53:41,19:13:29,,9:20,00:00,9:20,Present ,,
,81,MS5150,09:03:40,19:10:51,,9:00,1:07,10:07,Present ,,
,82,MS5159,,,,00:00,00:00,00:00,Absent,,
,83,MS5169,11:25:27,,,7:05,00:00,7:05,Present  (No OutPunch),,
,84,MS5179,09:16:09,19:12:58,,9:00,00:56,9:56,Present ,,
,85,MS5195,,,,00:00,00:00,00:00,Absent,,
,86,MS5213,09:00:45,13:32:03,,4:32,00:00,4:32,Present ,,
,87,MS5218,11:27:00,,,7:03,00:00,7:03,Present  (No OutPunch),,
,88,MS5281,16:24:05,,,4:06,00:00,4:06,Present  (No OutPunch),,
,89,MS5283,11:35:23,,,6:55,00:00,6:55,Present  (No OutPunch),,
,90,MS5317,08:49:30,11:40:45,,2:51,00:00,2:51, ½Present ,,
,91,MS5334,11:34:49,13:48:36,,2:14,00:00,2:14, ½Present ,,
,92,MS5361,11:15:57,14:19:42,,3:04,00:00,3:04, ½Present ,,
,93,MS5387,,,,00:00,00:00,00:00,Absent,,
,94,MS5480,,,,00:00,00:00,00:00,Absent,,
,95,MS5578,08:47:44,,,9:00,00:43,9:43,Present  (No OutPunch),,
,96,MS5605,08:51:27,,,9:00,00:39,9:39,Present  (No OutPunch),,
,97,MS5681,09:02:32,14:43:09,,5:40,00:00,5:40,Present ,,
,98,MS5741,08:51:22,,,9:00,00:39,9:39,Present  (No OutPunch),,
,99,MS5862,09:05:25,15:47:09,,6:42,00:00,6:42,Present ,,
,100,MS5882,08:53:13,13:42:46,,4:49,00:00,4:49,Present ,,
,101,MS5884,09:10:55,18:15:28,,9:05,00:00,9:05,Present ,,
,102,MS5913,08:58:35,13:36:56,,4:38,00:00,4:38,Present ,,
,103,MS5934,,,,00:00,00:00,00:00,Absent,,
